Age,CreditScore,Balance,EstimatedSalary,Gender_Female,Gender_Male,Geography_France,Geography_Germany,Geography_Spain,Tenure,NumOfProducts,HasCrCard,IsActiveMember
-1.1397229436841325,-0.9797116780627075,-1.2181298703441596,-1.6654189762148537,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0
1.2635125215612186,1.5271528438088355,1.3678924909639392,-0.19354098491773167,1.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0
2.9938420565378716,1.278538180482732,0.7017785023332374,-0.44672081057003027,0.0,1.0,0.0,1.0,0.0,6.0,2.0,1.0,1.0
3.2822303123673136,0.3255153043993355,0.7827132645633458,-0.838818313290552,0.0,1.0,0.0,1.0,0.0,9.0,1.0,1.0,1.0
-0.5629464320252483,0.045823808157469156,1.006887435353818,-1.0974614840083,0.0,1.0,1.0,0.0,0.0,7.0,2.0,1.0,0.0
0.20608891685326405,1.4132044564510382,-1.2181298703441596,-1.2987049027431878,1.0,0.0,1.0,0.0,0.0,6.0,1.0,1.0,1.0
0.10995949824345001,0.5223352461991674,1.1164800891052966,0.6113232351853382,0.0,1.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0
-0.5629464320252483,-0.8139685691786386,0.22759201967683743,0.6486052230257411,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
0.4944771726827062,-1.2490442299993196,-1.2181298703441596,-1.14478216829031,0.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0
-0.6590758506350624,-1.5390946705464403,-1.2181298703441596,0.9193756067947128,0.0,1.0,1.0,0.0,0.0,4.0,2.0,1.0,1.0
-1.1397229436841325,2.0554590033768054,-0.5177908358386082,-1.6910348882324517,1.0,0.0,1.0,0.0,0.0,7.0,2.0,1.0,1.0
-1.3319817809037606,-0.06812457920032826,1.306844845685805,-0.1240810152923053,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0
-0.37068759480562025,0.2840795271783183,0.5503520643322012,1.3588327729440994,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
0.4944771726827062,0.8020267424410338,-1.2181298703441596,-1.583580343238179,0.0,1.0,1.0,0.0,0.0,5.0,2.0,0.0,1.0
